to,from,dashes
4576,3803,
4575,3422,
4574,3422,
4573,3422,
4572,3422,
4571,3422,
4570,3422,
4569,3422,
4568,3422,
4567,3422,
4566,3422,
4565,3422,
4564,3422,
4563,3422,
4562,3422,
4561,3422,
4560,3422,
4559,3422,
4558,3422,
4557,3422,
4556,3422,
4541,3977,
4540,4069,
4539,4069,
4538,4069,
4537,4069,
4536,4069,
4535,4069,
4530,4069,
4529,4069,
4528,4069,
4527,4069,
4526,4069,
4525,4069,
4524,4069,
4523,4069,
4522,4069,
4521,4069,
4520,4069,
4519,4069,
4518,4069,
4517,4432,
4516,4432,
4515,4432,
4514,4432,
4513,4432,
4512,4432,
4511,4432,
4510,4432,
4509,4432,
4508,4432,
4507,4432,
4506,4432,
4505,4432,
4504,4432,
4503,4432,
4498,4438,
4497,4438,
4496,4438,
4495,4434,
4494,4434,
4493,4439,
4492,4129,
4491,4129,
4490,4129,
4486,2665,
4484,4256,
4483,4256,
4481,4140,
4480,4140,
4477,4330,
4475,4054,
4474,4054,
4473,4054,
4472,4082,True
4472,4083,True
4472,4084,True
4472,4085,True
4472,4086,True
4472,4087,True
4472,4088,True
4471,3432,
4470,3432,
4469,3432,
4468,3432,
4467,3432,
4466,3432,
4465,3635,
4464,4121,
4463,4121,
4462,3663,True
4462,3664,True
4462,3265,True
4462,4418,True
4462,4419,True
4461,3663,True
4461,3664,True
4461,3265,True
4461,4418,True
4461,4419,True
4460,3663,True
4460,3664,True
4460,3265,True
4460,4418,True
4460,4419,True
4459,3663,True
4459,3664,True
4459,3265,True
4459,4418,True
4459,4419,True
4458,3663,True
4458,3664,True
4458,3265,True
4458,4418,True
4458,4419,True
4457,3663,True
4457,3664,True
4457,3265,True
4457,4418,True
4457,4419,True
4456,3663,True
4456,3664,True
4456,3265,True
4456,4418,True
4456,4419,True
4455,3663,True
4455,3664,True
4455,3265,True
4455,4418,True
4455,4419,True
4454,3663,True
4454,3664,True
4454,3265,True
4454,4418,True
4454,4419,True
4449,4396,
4448,4396,
4447,4396,
4446,4064,
4437,4133,
4436,4133,
4432,3386,
4428,3566,
4427,3566,
4426,3566,
4425,3566,
4424,3566,
4423,3566,
4422,4073,
4421,4073,
4420,4073,
4419,4254,
4418,4254,
4417,3727,
4416,3727,
4415,3727,
4414,3727,
4413,3727,
4412,3727,
4411,3727,
4410,3727,
4409,3727,
4408,3727,
4407,3727,
4406,3727,
4405,3727,
4404,3727,
4403,3727,
4402,3727,
4401,3727,
4400,4345,
4399,4345,
4398,3487,
4397,3727,
4396,4345,
4395,3919,
4394,3487,
4390,4114,
4389,4140,
4388,4197,
4387,4197,
4386,4197,
4385,4197,
4384,4256,
4383,4197,
4382,4069,
4379,4069,
4378,4054,
4377,3485,
4376,3485,
4375,3485,
4374,3485,
4373,4254,
4371,4254,
4370,4317,
4368,3485,
4367,3485,
4366,4038,
4365,4038,
4364,4038,
4363,4038,
4362,4038,
4359,4004,
4358,4004,
4357,4004,
4356,3414,
4355,3485,
4354,3485,
4353,3485,
4352,3414,
4351,3414,
4350,3414,
4349,3487,
4348,3487,
4347,3487,
4346,3441,
